4764	U-WAY	Arena - Cool Qi Wireless Charging Pad Built-in Cooling Fan
4763	U-WAY	Hybrid Qi Wireless Charging Pad Built-in Cooling
4739	Astronics Advanced Electronics Systems	Wireless Charging Module
4699	Spark Connected	The Beast Automotive In-cabin Wireless Charger
4694	ADAYO	Car Wireless Charger
4665	U-WAY	Arena Qi Wireless Charging Pad
4664	U-WAY	Cross Qi Wireless Charging Pad
4663	U-WAY	Twin Qi Wireless Charging Dual Pad(U15QT-1052D)
4662	U-WAY	Air Vent Stand Qi Wireless Charging Car Mount
4661	U-WAY	Sucker Stand Qi Wireless Charging Car Mount
4660	U-WAY	Qi Wireless Charging Pad(Round)
4640	Nedis	Wireless charger
4639	Nedis	Wireless charger
4636	comsol	WIRELESS CHARGER
4634	mophie	mophie charge stream desk stand
4612	Spark Connected	The Valkyrie Tabletop Wireless Charger
4578	DNS	WIRELESS CHARGER MODULE
4573	Razer	Wireless Charger
4571	Belkin	Boost Up Wireless Charging Spot - Recessed/Hidden, 4pack
4570	Belkin	Boost Up Wireless Charging Spot - Surface Pad, 4pack
4550	Hama	Wireless Charger
4530	Belkin	Boost Up Wireless Charging Spot - Recessed/Hidden
4529	Amphenol Tecvox	Wireless Charger
4523	comsol	WIRELESS CHARGER
4470	Adayo	Car Wireless Charger
4403	Adayo	Car Wireless Charger
4402	Adayo	Car Wireless Charger
4341	testbrand	Testproduct with subsystem
4339	HANK	Wireless Charging Pad
4330	UGREEN	Wireless Charging Pad
4315	Desertwest	Wireless Charger
4302	CCA	Qi wireless charging pad
4273	MAXELL	WIRELESS CHARGER
4250	Nexxtech	WIRELESS CHARGER
4236	iHome	Stereo Speaker System with Dual Alarm Clock and Dual Charging
4191	Aptiv	APTIV-35062651
4144	mophie	mophie charge stream vent mount
4126	LG Electronics	WC500M-RN
4106	IDT	CR522 IDTP9261 EVK
4095	ASUS	ASUS Automotive Wireless Charger
4079	DNS	WIRELESS CHARGER
4052	Belkin	BOOSTUP Wireless Charging Spot (B2B170)
4051	Belkin	BOOSTUP Wireless Charging Dock for iPhone and Apple Watch
4050	Belkin	BOOSTUP Wireless Charging Stand (F7U052v2)
4049	Belkin	BOOSTUP Wireless Charging Pad (F7U050v2)
4026	HLDS	SuperMulti Wireless Charger
3989	iLuv	WIRELESS CHARGER
3988	iLuv	WIRELESS CHARGER
3987	iLuv	WIRELESS CHARGER
3985	mWorks!	WIRELESS CHARGER
3984	Echogear	WIRELESS CHARGER
3970	ADAYO	Car Wireless Charger
3874	Brandstand Products	CubieDuo
3841	Belkin	BOOSTUP Special Edition Wireless Charging Dock for iPhone and Apple Watch
3838	Verbatim	WIRELESS CHARGER
3837	DEPPA	Wireless charger
3835	DNS	WIRELESS CHARGER
3802	ANKER	PowerWave 7.5 Car Mount
3786	Luxshare	Automotive Wireless Charging Transmitter
3746	U-WAY	Qi Wireless Charging Pad
3722	ANKER	PowerWave 7.5 Pad
3704	mophie	charge stream vent mount
3702	Andobil	Wireless Charger
3682	Gmobi	Wireless Charger
3671	AVGO	WIRELESS CHARGER
3670	FUJ:TECH	WIRELESS CHARGER
3669	Trust	WIRELESS CHARGER
3664	Nuvolta	LN15
3663	ASUS	Zen AiO 27
3617	GADMEI	Wireless charger
3613	ANKER	PowerWave 7.5 Pad
3591	maxell	Qi Wireless Charging Pad - Air Voltage
3589	Logitech	POWERED
3541	LG Innotek	WIRELESS CHARGING PAD
3521	SoftBank SELECTION	Wireless Charging Base for iPhone/Android™
3481	U-WAY	Qi Multi Power Wireless Charging TX Module
3432	Adayo	Car Wireless Charger
3430	Freedy	Flex Wireless Charging Stand
3380	ANKER	PowerWave Evo Pad
3352	ZENS	ZENS Fast Wireless Charger
3291	FUJ:TECH	WIRELESS CHARGER
3290	Sandstrom	wireless charger
3242	Tzumi	WIRELESS CHARGER
3232	Sandstrom	Qi Quick Wireless Charge Pad
3187	iHome	Stereo Speaker System with Dual Alarm Clock and Dual Charging
3113	3SIXT	WIRELESS CHARGER
3112	Verbatim	WIRELESS CHARGER
3091	Anker	PowerWave 15 Pad
3055	HP	HP Envy Curved All-in-One PC 34-b1xx
2873	Brightstar Corp.	Qi wirelesss charger
2869	au/KDDI	Wireless Charging Pad
2834	Speed	Wireless Charger
2768	Belkin	BOOSTUP Wireless Charging Stand
2767	Belkin	BOOSTUP Bold Wireless Charging Pad
2745	TORRAS	Wireless Charger
2614	U-WAY	Arena - Qi Wireless Charging Pad
2613	U-WAY	Cross - Qi Wireless Charging Pad
2612	U-WAY	Qi Wireless Charging Car Holder
2598	LG Electronics	HLW-TNHP1
2591	Brandstand Products	CubieTrio
2560	DNS	WIRELESS CHARGER
2556	LG Electronics	WC501M
2511	U-WAY	Qi 3 Coils Wireless Charging Foldable Pad
2510	U-WAY	Max Tech Qi 3 Coils Wireless Charging Stand
2509	U-WAY	Max Sens Qi 3 Coils Wireless Charging Pad
2508	MEGA KING	MEGA KING WIRELESS CHARGING PAD(FAST CHARGE)
2496	Celfras Semiconductor	CWQ1000_EVM
2481	NXP B.V.	fixed frequency one coil power transmitter
2420	INCIPIO	INCIPIO GHOST QI 3-COIL WIRELESS CHARGING BASE
2396	newyea	Wireless Charger
2369	U-WAY	Qi Dual Wireless Charging Pad
2368	U-WAY	Qi Wireless Charging Pad with USB Output
2367	U-WAY	Qi Infrastructure Solution(Industrial Application)
2366	U-WAY	Qi Infrastructure Solution(DIY Solution)
2365	U-WAY	Qi Wireless Charging Car Mount
2352	RAVPOWER	 Wireless Charging Pad
2320	Adayo	Car Wireless Charger
2315	Freedy	Wireless Charging Pad
2285	Delphi Automotive	DELPHI-33383891
2283	Semico	Wireless Charger MP
2278	LG Electronics	Wireless Charging Transmitter
2252	CITIPACK	15 W Wireless Charger
2249	STMicroelectronics	STEVAL-ISB044V1
2226	SCOSCHE	WIRELESS CHARGING PAD
2219	Zens	Wireless Charger
2211	Generalplus	GPMQ9019B
2166	U-WAY	WPC Qi 3 coils wireless fast-charging transmitter module
2164	NXP B.V.	automotive power transmitter
2145	LG Electronics	WC910-FC
2143	U-WAY	Qi Fast Charge Wireless Charging Pad
2103	INCIPIO	INCIPIO GHOST QI WIRELESS CHARGING BASE
2026	U-WAY	Medium Power TX Module
2022	IDT Wireless Power	P9242-R
1935	SCOSCHE	WIRELESS CHARGING PAD
1928	NXP B.V.	multi coil power transmitter
1880	LG Innotek	Wireless Charging Pad
1878	RICHTEK	RT3181 MP Charger
1862	Verizon	Wireless Charging Pad
1801	LG Electronics	Wireless Charging Transmitter
1790	TOSHIBA	TC7718FTG
1783	ROHM	BD57020MWV MP-A7 EVM
1775	Belkin	Belkin Wireless Charging Pad for Samsung
1559	NXP B.V.	Medium power single coil power transmitter
1405	ROHM	BD57020MWV EVM
